Timestamp,Data
2025-09-23 11:54:22.476,[4]-Touch!
2025-09-23 11:54:24.364,[1]-Touch!
2025-09-23 11:54:24.867,[2]-Touch!
2025-09-23 11:54:28.835,[1]-Touch!
2025-09-23 11:54:29.446,[2]-Touch!
2025-09-23 11:54:29.900,[3]-Touch!
2025-09-23 11:54:30.968,[4]-Touch!
2025-09-23 11:54:31.322,[1]-Touch!
2025-09-23 11:54:31.675,[1]-Touch!
2025-09-23 11:55:13.847,[1]-Touch!
2025-09-23 11:55:14.355,[1]-Touch!
2025-09-23 11:55:16.495,[4]-Touch!
2025-09-23 11:55:16.838,[3]-Touch!
2025-09-23 11:55:17.295,[1]-Touch!
2025-09-23 11:56:04.465,[1]-Touch!
2025-09-23 11:56:04.765,[3]-Touch!
2025-09-23 11:56:05.073,[4]-Touch!
2025-09-23 11:56:05.426,[2]-Touch!
2025-09-23 11:56:05.777,[1]-Touch!
2025-09-23 11:56:06.996,[1]-Touch!
2025-09-23 11:56:07.452,[1]-Touch!
2025-09-23 11:56:07.860,[2]-Touch!
2025-09-23 11:56:08.212,[2]-Touch!
2025-09-23 11:56:08.510,[3]-Touch!
2025-09-23 11:56:08.816,[4]-Touch!
2025-09-23 11:59:07.606,[2]-Touch!
2025-09-23 11:59:07.906,[3]-Touch!
2025-09-23 11:59:08.256,[2]-Touch!
2025-09-23 11:59:08.609,[1]-Touch!
2025-09-23 11:59:08.913,[2]-Touch!
2025-09-23 11:59:09.216,[3]-Touch!
2025-09-23 11:59:13.901,[1]-Touch!
2025-09-23 11:59:14.202,[2]-Touch!
2025-09-23 11:59:14.505,[3]-Touch!
2025-09-23 11:59:14.858,[1]-Touch!
2025-09-23 11:59:15.159,[2]-Touch!
2025-09-23 11:59:15.463,[3]-Touch!
2025-09-23 11:59:15.817,[1]-Touch!
2025-09-23 11:59:16.168,[1]-Touch!
2025-09-23 11:59:16.468,[3]-Touch!
