Timestamp,ReceivedData
2025-09-25 17:58:46.510,[4]-Touch!
2025-09-25 17:58:48.749,[4]-Touch!
2025-09-25 17:58:50.378,[4]-Touch!
2025-09-25 17:58:51.088,[4]-Touch!
2025-09-25 17:58:51.594,[4]-Touch!
2025-09-25 17:58:58.117,[4]-Touch!
2025-09-25 17:58:58.470,[4]-Touch!
2025-09-25 17:58:58.823,[4]-Touch!
2025-09-25 17:58:59.176,[4]-Touch!
2025-09-25 17:58:59.937,[4]-Touch!
2025-09-25 17:59:00.800,[4]-Touch!
2025-09-25 17:59:01.204,[4]-Touch!
2025-09-25 17:59:01.557,[4]-Touch!
2025-09-25 17:59:02.930,[4]-Touch!
2025-09-25 17:59:03.283,[4]-Touch!
2025-09-25 17:59:04.503,[4]-Touch!
2025-09-25 17:59:04.855,[4]-Touch!
2025-09-25 17:59:05.821,[4]-Touch!
2025-09-25 17:59:06.174,[4]-Touch!
2025-09-25 17:59:08.618,[1]-Touch!
2025-09-25 17:59:09.378,[2]-Touch!
2025-09-25 17:59:09.885,[2]-Touch!
2025-09-25 17:59:10.391,[3]-Touch!
